Order ID,Date,Region,Product,Quantity,Unit Price,Total Sales
10001,01-01-2023 00:00,East,Tablet,6,850.59,5103.54
10002,01-01-2023 01:00,West,Tablet,3,530.8,1592.4
10003,01-01-2023 02:00,North,Monitor,9,488.34,4395.06
10004,01-01-2023 03:00,East,Tablet,8,276.75,2214
10005,01-01-2023 04:00,East,Keyboard,9,474.96,4274.64
10006,01-01-2023 05:00,West,Tablet,5,952.91,4764.55
10007,01-01-2023 06:00,North,Keyboard,3,250.25,750.75
10008,01-01-2023 07:00,North,Tablet,4,220.09,880.36
10009,01-01-2023 08:00,East,Keyboard,5,279.8,1399
10010,01-01-2023 09:00,South,Tablet,9,574.24,5168.16
10011,01-01-2023 10:00,East,Tablet,9,933.78,8404.02
10012,01-01-2023 11:00,East,Smartphone,3,595.19,1785.57
10013,01-01-2023 12:00,East,Keyboard,7,281.31,1969.17
10014,01-01-2023 13:00,East,Keyboard,6,468.43,2810.58
10015,01-01-2023 14:00,West,Keyboard,4,420.88,1683.52
10016,01-01-2023 15:00,North,Laptop,5,94.24,471.2
10017,01-01-2023 16:00,West,Tablet,2,535.11,1070.22
10018,01-01-2023 17:00,West,Keyboard,7,169.71,1187.97
10019,01-01-2023 18:00,West,Laptop,4,850.13,3400.52
10020,01-01-2023 19:00,East,Smartphone,2,571.51,1143.02
10021,01-01-2023 20:00,South,Keyboard,6,852.38,5114.28
10022,01-01-2023 21:00,North,Keyboard,2,958.24,1916.48
10023,01-01-2023 22:00,South,Laptop,2,946.03,1892.06
10024,01-01-2023 23:00,West,Tablet,7,145.41,1017.87
10025,02-01-2023 00:00,West,Smartphone,1,947.58,947.58
10026,02-01-2023 01:00,South,Keyboard,7,805.96,5641.72
10027,02-01-2023 02:00,South,Tablet,5,788.78,3943.9
10028,02-01-2023 03:00,South,Smartphone,1,135.62,135.62
10029,02-01-2023 04:00,West,Monitor,6,220.54,1323.24
10030,02-01-2023 05:00,West,Monitor,7,976.41,6834.87
10031,02-01-2023 06:00,North,Smartphone,1,252.7,252.7
10032,02-01-2023 07:00,North,Laptop,9,210.6,1895.4
10033,02-01-2023 08:00,West,Smartphone,7,394.23,2759.61
10034,02-01-2023 09:00,South,Smartphone,1,917.69,917.69
10035,02-01-2023 10:00,South,Laptop,3,502.38,1507.14
10036,02-01-2023 11:00,North,Laptop,5,924.55,4622.75
10037,02-01-2023 12:00,West,Tablet,4,367.62,1470.48
10038,02-01-2023 13:00,North,Tablet,2,265.2,530.4
10039,02-01-2023 14:00,North,Laptop,1,520.44,520.44
10040,02-01-2023 15:00,East,Monitor,4,634.7,2538.8
10041,02-01-2023 16:00,East,Monitor,7,421.92,2953.44
10042,02-01-2023 17:00,East,Smartphone,4,378.73,1514.92
10043,02-01-2023 18:00,South,Keyboard,9,257.16,2314.44
10044,02-01-2023 19:00,West,Smartphone,8,311.26,2490.08
10045,02-01-2023 20:00,West,Smartphone,8,689.46,5515.68
10046,02-01-2023 21:00,West,Keyboard,5,401.38,2006.9
10047,02-01-2023 22:00,West,Laptop,1,125.77,125.77
10048,02-01-2023 23:00,East,Monitor,9,181.25,1631.25
10049,03-01-2023 00:00,South,Smartphone,2,403.76,807.52
10050,03-01-2023 01:00,South,Keyboard,6,928.28,5569.68
10051,03-01-2023 02:00,East,Tablet,5,410.08,2050.4
10052,03-01-2023 03:00,South,Smartphone,8,107.61,860.88
10053,03-01-2023 04:00,East,Monitor,3,447.09,1341.27
10054,03-01-2023 05:00,West,Laptop,6,685.38,4112.28
10055,03-01-2023 06:00,East,Smartphone,6,613.92,3683.52
10056,03-01-2023 07:00,West,Smartphone,3,314.86,944.58
10057,03-01-2023 08:00,West,Keyboard,7,703.68,4925.76
10058,03-01-2023 09:00,North,Tablet,4,649.09,2596.36
10059,03-01-2023 10:00,East,Tablet,5,213.56,1067.8
10060,03-01-2023 11:00,North,Laptop,9,204.04,1836.36
10061,03-01-2023 12:00,East,Monitor,6,569.82,3418.92
10062,03-01-2023 13:00,East,Laptop,4,676.47,2705.88
10063,03-01-2023 14:00,North,Smartphone,8,963.82,7710.56
10064,03-01-2023 15:00,North,Smartphone,9,450.83,4057.47
10065,03-01-2023 16:00,East,Tablet,5,776.69,3883.45
10066,03-01-2023 17:00,South,Monitor,2,160.69,321.38
10067,03-01-2023 18:00,West,Keyboard,6,895.13,5370.78
10068,03-01-2023 19:00,North,Monitor,8,651.45,5211.6
10069,03-01-2023 20:00,West,Smartphone,5,647.58,3237.9
10070,03-01-2023 21:00,South,Keyboard,1,185.32,185.32
10071,03-01-2023 22:00,South,Monitor,8,87.6,700.8
10072,03-01-2023 23:00,South,Monitor,9,716.38,6447.42
10073,04-01-2023 00:00,North,Keyboard,1,161.2,161.2
10074,04-01-2023 01:00,South,Smartphone,8,170.62,1364.96
10075,04-01-2023 02:00,North,Monitor,2,228.13,456.26
10076,04-01-2023 03:00,South,Keyboard,4,142.86,571.44
10077,04-01-2023 04:00,West,Smartphone,2,644.12,1288.24
10078,04-01-2023 05:00,West,Keyboard,2,450.9,901.8
10079,04-01-2023 06:00,East,Keyboard,3,302.79,908.37
10080,04-01-2023 07:00,West,Monitor,8,468.71,3749.68
10081,04-01-2023 08:00,East,Smartphone,4,851.93,3407.72
10082,04-01-2023 09:00,West,Monitor,7,930.73,6515.11
10083,04-01-2023 10:00,North,Laptop,3,513.1,1539.3
10084,04-01-2023 11:00,West,Laptop,3,588.42,1765.26
10085,04-01-2023 12:00,East,Smartphone,2,294.34,588.68
10086,04-01-2023 13:00,East,Keyboard,6,537.92,3227.52
10087,04-01-2023 14:00,South,Monitor,6,760.71,4564.26
10088,04-01-2023 15:00,North,Monitor,1,517.53,517.53
10089,04-01-2023 16:00,West,Smartphone,7,336.97,2358.79
10090,04-01-2023 17:00,South,Smartphone,4,602.93,2411.72
10091,04-01-2023 18:00,West,Laptop,3,949.32,2847.96
10092,04-01-2023 19:00,West,Tablet,8,893.58,7148.64
10093,04-01-2023 20:00,South,Smartphone,2,780.78,1561.56
10094,04-01-2023 21:00,South,Tablet,9,312.4,2811.6
10095,04-01-2023 22:00,South,Smartphone,8,279.48,2235.84
10096,04-01-2023 23:00,South,Keyboard,8,846.61,6772.88
10097,05-01-2023 00:00,South,Keyboard,3,222.25,666.75
10098,05-01-2023 01:00,West,Laptop,4,625.33,2501.32
10099,05-01-2023 02:00,South,Laptop,2,466.98,933.96
10100,05-01-2023 03:00,North,Tablet,2,494.59,989.18
10101,05-01-2023 04:00,East,Smartphone,4,481.82,1927.28
10102,05-01-2023 05:00,South,Monitor,6,904.95,5429.7
10103,05-01-2023 06:00,South,Laptop,5,132.74,663.7
10104,05-01-2023 07:00,West,Monitor,1,793.76,793.76
10105,05-01-2023 08:00,South,Monitor,1,843.26,843.26
10106,05-01-2023 09:00,South,Smartphone,6,945.73,5674.38
10107,05-01-2023 10:00,South,Tablet,3,479.97,1439.91
10108,05-01-2023 11:00,West,Smartphone,3,525.06,1575.18
10109,05-01-2023 12:00,South,Laptop,7,963.23,6742.61
10110,05-01-2023 13:00,East,Monitor,1,485.53,485.53
10111,05-01-2023 14:00,West,Smartphone,1,528.37,528.37
10112,05-01-2023 15:00,East,Smartphone,3,365.64,1096.92
10113,05-01-2023 16:00,West,Smartphone,8,80.05,640.4
10114,05-01-2023 17:00,South,Laptop,1,461.4,461.4
10115,05-01-2023 18:00,East,Tablet,4,672.34,2689.36
10116,05-01-2023 19:00,West,Smartphone,9,705.45,6349.05
10117,05-01-2023 20:00,North,Laptop,4,56.18,224.72
10118,05-01-2023 21:00,South,Monitor,8,811,6488
10119,05-01-2023 22:00,West,Keyboard,7,517.79,3624.53
10120,05-01-2023 23:00,North,Laptop,3,544.71,1634.13
10121,06-01-2023 00:00,West,Keyboard,7,963.66,6745.62
10122,06-01-2023 01:00,North,Smartphone,7,320.24,2241.68
10123,06-01-2023 02:00,South,Smartphone,3,773.57,2320.71
10124,06-01-2023 03:00,East,Laptop,2,596.04,1192.08
10125,06-01-2023 04:00,North,Keyboard,9,715.76,6441.84
10126,06-01-2023 05:00,West,Smartphone,1,446.93,446.93
10127,06-01-2023 06:00,South,Monitor,7,315.25,2206.75
10128,06-01-2023 07:00,North,Tablet,4,568.82,2275.28
10129,06-01-2023 08:00,West,Tablet,2,406.19,812.38
10130,06-01-2023 09:00,West,Smartphone,2,261.77,523.54
10131,06-01-2023 10:00,West,Keyboard,8,847.27,6778.16
10132,06-01-2023 11:00,North,Smartphone,7,502.04,3514.28
10133,06-01-2023 12:00,North,Keyboard,7,854.95,5984.65
10134,06-01-2023 13:00,North,Monitor,5,500.33,2501.65
10135,06-01-2023 14:00,East,Keyboard,8,578.96,4631.68
10136,06-01-2023 15:00,North,Smartphone,2,995.52,1991.04
10137,06-01-2023 16:00,North,Monitor,2,953.93,1907.86
10138,06-01-2023 17:00,North,Laptop,5,308.11,1540.55
10139,06-01-2023 18:00,East,Tablet,1,875.22,875.22
10140,06-01-2023 19:00,North,Smartphone,6,420.88,2525.28
10141,06-01-2023 20:00,West,Smartphone,4,117.69,470.76
10142,06-01-2023 21:00,North,Smartphone,6,596.99,3581.94
10143,06-01-2023 22:00,West,Monitor,7,978.2,6847.4
10144,06-01-2023 23:00,West,Laptop,3,975.6,2926.8
10145,07-01-2023 00:00,West,Keyboard,8,170.14,1361.12
10146,07-01-2023 01:00,East,Laptop,7,782.67,5478.69
10147,07-01-2023 02:00,East,Monitor,1,812.69,812.69
10148,07-01-2023 03:00,East,Smartphone,6,400.31,2401.86
10149,07-01-2023 04:00,North,Tablet,7,675.67,4729.69
10150,07-01-2023 05:00,West,Smartphone,4,513.75,2055
10151,07-01-2023 06:00,East,Keyboard,2,266.5,533
10152,07-01-2023 07:00,East,Tablet,9,773.2,6958.8
10153,07-01-2023 08:00,North,Smartphone,7,299.62,2097.34
10154,07-01-2023 09:00,East,Tablet,1,373.43,373.43
10155,07-01-2023 10:00,North,Laptop,8,230.52,1844.16
10156,07-01-2023 11:00,South,Monitor,3,733.31,2199.93
10157,07-01-2023 12:00,East,Smartphone,4,485.79,1943.16
10158,07-01-2023 13:00,South,Keyboard,5,471.2,2356
10159,07-01-2023 14:00,North,Laptop,1,624.33,624.33
10160,07-01-2023 15:00,West,Smartphone,6,199.4,1196.4
10161,07-01-2023 16:00,East,Laptop,6,903.25,5419.5
10162,07-01-2023 17:00,North,Keyboard,2,491.85,983.7
10163,07-01-2023 18:00,West,Smartphone,6,398.2,2389.2
10164,07-01-2023 19:00,West,Keyboard,8,170.36,1362.88
10165,07-01-2023 20:00,South,Tablet,6,209.56,1257.36
10166,07-01-2023 21:00,North,Keyboard,4,924.34,3697.36
10167,07-01-2023 22:00,West,Tablet,4,483.79,1935.16
10168,07-01-2023 23:00,East,Smartphone,9,736.07,6624.63
10169,08-01-2023 00:00,East,Tablet,6,126.49,758.94
10170,08-01-2023 01:00,South,Smartphone,8,661.29,5290.32
10171,08-01-2023 02:00,West,Smartphone,8,925.44,7403.52
10172,08-01-2023 03:00,North,Monitor,7,334.97,2344.79
10173,08-01-2023 04:00,East,Smartphone,3,600.18,1800.54
10174,08-01-2023 05:00,West,Tablet,1,943.21,943.21
10175,08-01-2023 06:00,West,Monitor,5,733.36,3666.8
10176,08-01-2023 07:00,South,Monitor,2,109.21,218.42
10177,08-01-2023 08:00,East,Smartphone,2,409.8,819.6
10178,08-01-2023 09:00,East,Keyboard,7,131.48,920.36
10179,08-01-2023 10:00,North,Keyboard,3,868.25,2604.75
10180,08-01-2023 11:00,East,Monitor,8,640.58,5124.64
10181,08-01-2023 12:00,North,Smartphone,9,958.56,8627.04
10182,08-01-2023 13:00,East,Keyboard,8,68.77,550.16
10183,08-01-2023 14:00,South,Smartphone,6,451.93,2711.58
10184,08-01-2023 15:00,East,Smartphone,5,149.15,745.75
10185,08-01-2023 16:00,North,Monitor,3,382.96,1148.88
10186,08-01-2023 17:00,North,Monitor,3,203.79,611.37
10187,08-01-2023 18:00,South,Laptop,7,362.35,2536.45
10188,08-01-2023 19:00,East,Keyboard,5,828.3,4141.5
10189,08-01-2023 20:00,East,Keyboard,6,202.66,1215.96
10190,08-01-2023 21:00,South,Keyboard,6,499.98,2999.88
10191,08-01-2023 22:00,East,Tablet,9,925.5,8329.5
10192,08-01-2023 23:00,East,Smartphone,1,998.84,998.84
10193,09-01-2023 00:00,North,Monitor,8,288.11,2304.88
10194,09-01-2023 01:00,East,Keyboard,5,938.79,4693.95
10195,09-01-2023 02:00,East,Laptop,6,298.32,1789.92
10196,09-01-2023 03:00,South,Keyboard,6,442.85,2657.1
10197,09-01-2023 04:00,South,Smartphone,1,884.03,884.03
10198,09-01-2023 05:00,West,Smartphone,3,796.87,2390.61
10199,09-01-2023 06:00,North,Monitor,6,864.61,5187.66
10200,09-01-2023 07:00,East,Tablet,9,810.24,7292.16
10201,09-01-2023 08:00,East,Monitor,6,273.31,1639.86
10202,09-01-2023 09:00,West,Keyboard,6,580.86,3485.16
10203,09-01-2023 10:00,East,Laptop,1,415.99,415.99
10204,09-01-2023 11:00,North,Monitor,9,486.73,4380.57
10205,09-01-2023 12:00,West,Tablet,4,196.26,785.04
10206,09-01-2023 13:00,North,Monitor,2,349.98,699.96
10207,09-01-2023 14:00,West,Smartphone,1,864.76,864.76
10208,09-01-2023 15:00,West,Keyboard,3,902.68,2708.04
10209,09-01-2023 16:00,South,Keyboard,3,629.65,1888.95
10210,09-01-2023 17:00,North,Keyboard,5,523.35,2616.75
10211,09-01-2023 18:00,East,Keyboard,1,727.2,727.2
10212,09-01-2023 19:00,East,Keyboard,7,628.41,4398.87
10213,09-01-2023 20:00,North,Keyboard,1,984.49,984.49
10214,09-01-2023 21:00,East,Laptop,4,230.58,922.32
10215,09-01-2023 22:00,East,Tablet,6,476.59,2859.54
10216,09-01-2023 23:00,North,Keyboard,1,922.33,922.33
10217,10-01-2023 00:00,West,Tablet,7,919,6433
10218,10-01-2023 01:00,North,Keyboard,7,520.58,3644.06
10219,10-01-2023 02:00,West,Monitor,3,178.07,534.21
10220,10-01-2023 03:00,East,Keyboard,4,824.21,3296.84
10221,10-01-2023 04:00,East,Smartphone,6,605.91,3635.46
10222,10-01-2023 05:00,East,Laptop,7,784.51,5491.57
10223,10-01-2023 06:00,South,Monitor,4,489.4,1957.6
10224,10-01-2023 07:00,West,Monitor,9,243.69,2193.21
10225,10-01-2023 08:00,South,Smartphone,9,72.79,655.11
10226,10-01-2023 09:00,South,Keyboard,9,581.18,5230.62
10227,10-01-2023 10:00,North,Laptop,6,202.99,1217.94
10228,10-01-2023 11:00,South,Monitor,2,227.78,455.56
10229,10-01-2023 12:00,North,Laptop,2,464.49,928.98
10230,10-01-2023 13:00,North,Monitor,4,469.97,1879.88
10231,10-01-2023 14:00,South,Keyboard,9,310.67,2796.03
10232,10-01-2023 15:00,West,Monitor,3,175.33,525.99
10233,10-01-2023 16:00,West,Monitor,6,947.71,5686.26
10234,10-01-2023 17:00,West,Tablet,2,175.06,350.12
10235,10-01-2023 18:00,West,Keyboard,1,383.23,383.23
10236,10-01-2023 19:00,West,Smartphone,5,339.62,1698.1
10237,10-01-2023 20:00,South,Smartphone,8,873.02,6984.16
10238,10-01-2023 21:00,South,Keyboard,2,439.56,879.12
